id,part_id,variant_group_id,supplier,no_tax_price,purchase_special_invoice,purchase_general_invoice,oa_supplier_id,external_price_fields
1744,5447,95ad4cf38fe1493ebc47a45a19fd0891,宏鑫,60.18,68.00,,64,
1745,5448,40bc69b3f5ac4cceb935e6a40eddff64,菱威,80.00,90.40,,20,
1746,5449,e95f2424a4324fc2ac5eb089a057d6ba,菱威,110.00,0.00,,20,
1747,3920,814e1d50a1ef41b99e9f01aaa594b0fb,宏鑫,0.00,0.00,,64,
1748,3920,814e1d50a1ef41b99e9f01aaa594b0fb,湖州讯通,0.00,0.00,,103,
1751,862,2d8907f39d604ad89573728a1a828369,菱威,230.00,0.00,,20,
1752,911,7b6ebc87f6fa47c6b2f6cfcd319fbdfe,菱威,115.00,0.00,,20,
1753,942,a59a65c4108b4d04901519d994112030,菱威,395.00,0.00,,20,
1754,956,40e9e4515bbe44279fb05af5da0e56f9,菱威,39.00,0.00,,20,
1755,990,b061dde3c6bf4693a73484dfb767cc4f,菱威,290.00,0.00,,20,
1756,505,4231f5240aad44b2b7133cb613b4448a,菱威,330.00,0.00,,20,
1757,523,9c1934ee53f0497abf666a605ec0e214,菱威,185.00,0.00,,20,
1758,2401,651b649bd7b84315b4ed162b10757165,宏鑫,606.19,685.00,,64,
1759,2401,f3dded865a0b4580bd3e101b0b966547,湖州讯通,575.22,650.00,,103,
1760,634,bf2096e3a6f24522bd38d4f05707191f,菱威,1850.00,0.00,,20,
1761,506,449dbf0c11c24a8a8f680a3bfb094adc,吉菱机电,550.00,0.00,0.00,48,
1762,1027,b78cba235c99467693e5e5baedc2766a,菱威,0.00,0.00,,20,
1763,450,c253bdc8352d47349c4db533ffbfa5af,湖州讯通,261.06,295.00,,103,
1764,543,aa935fb78d65409fb9080527ae7b39cb,菱威,155.00,0.00,,20,
1765,450,4e6ae57e1eba429ebcd9f1d97a93533b,宏鑫,336.28,380.00,,64,
1766,670,99daa1946150447ca20c60344266f0ae,菱威,950.00,1073.50,,20,
1767,564,a37a6d747bfa4feabee2b5f48651382c,菱威,350.00,0.00,,20,
1768,566,79fb09fec7ba47acb1620a13a3f8fa77,菱威,270.00,0.00,,20,
1769,553,c7c9118bffd04082b903f01fb614ede8,菱威,290.00,0.00,,20,
1770,570,1a1cf6b295814f81b57081792c0e8c8a,菱威,175.00,0.00,,20,
1771,571,a94d822aebef426a8bbbe4bc25746a16,菱威,350.00,0.00,,20,
1772,894,665c087e111148b9b8869555d805bb69,湖州讯通,181.42,205.00,,103,
1773,894,e90728ab5e4347b39b64a6fbc392ca45,宏鑫,150.44,170.00,,64,
1774,578,58025518d70446cf9e47d0aa43d584f8,吉菱机电,260.00,0.00,,48,
1775,902,420b7a71a72349199d0f41952f85ba07,菱威,550.00,0.00,,20,
1776,592,a959bfccacda4d26bd16c77768d944bb,菱威,126.00,0.00,,20,
1777,941,9a6d9ad2cfdf44cdbbec1924d7dd7882,吉菱机电,1100.00,0.00,0.00,48,
1778,610,f151967dd9aa43169905d5610b1d4a4c,菱威,300.00,0.00,,20,
1779,949,942c1db5412d403ca534aa96b85c3b83,菱威,320.00,0.00,,20,
1780,622,eb8f1de68f7a4c3a94611d8f9800decd,菱威,190.00,0.00,,20,
1781,896,9d8919b31e2d4b02b4d8966f431b9f93,宏鑫,247.79,280.00,,64,
1782,625,f11523d5178346ad9440ed8dd9168026,菱威,270.00,0.00,,20,
1783,954,c32172eac1314d1fa9b991acc7d363a7,菱威,5100.00,0.00,,20,
1784,963,9ea4a497c07b47a490f7062afb658b20,菱威,3650.00,0.00,,20,
1785,633,68e470a10bc04680ba9b4aba4f0ff4aa,菱威,43.00,0.00,,20,
1786,673,4d442660ec884c4fa9256f3cd72fd84c,菱威,310.00,0.00,,20,
1787,680,6e8aff77dcdf43348d5ca578e99a754f,梯安,960.00,0.00,,18,
1788,410,c701fa5469db4f6095fc7e5b6ca6be35,菱威,0.00,0.00,,20,
1789,749,bc515a3107a642e8b7c48fe276eb97f9,菱威,480.00,0.00,,20,
1790,767,4d6fad5c7c0a4a9a9d97803fd023d3c7,菱威,420.00,0.00,,20,
1791,767,4d6fad5c7c0a4a9a9d97803fd023d3c7,龙奥机电,407.08,460.00,,95,
1792,768,ea59827e1efe43cda37972d8a1bb082f,菱威,220.00,0.00,,20,
1793,772,179dde6ea5784c6f855658a34b7b9ec2,菱威,750.00,0.00,,20,
1794,776,fcd5ef65aef64dc0a93d524c577c2147,菱威,800.00,0.00,,20,
1795,807,3ccf5d26efbf4a49a75f61468ef70053,菱威,195.00,0.00,,20,
1796,811,b48c8fd949fe4c6f96a90e6969632e44,梯安,750.00,0.00,,18,
1797,842,5d66ff2552f54ebab24aa65f2a8c3af8,菱威,125.00,0.00,,20,
1798,992,684617c2a5bb4446a136b9316967f905,菱威,2900.00,0.00,,20,
1799,11,afdf2765e2be4894ae7f247d324e84db,菱威,230.00,0.00,,20,
1800,411,5370abde0d0c4b08a7f7054c6029a636,菱威,0.00,0.00,,20,
1801,429,1077417a84514d88ab7e59dcef7d40bd,菱威,0.00,0.00,,20,
1802,340,e94e2cc838ff4c11804a7b910aa7bdaa,菱威,340.00,0.00,,20,
1803,1032,c738d8073fa2460980660047899c7e68,梯乎,1100.00,0.00,,77,
1804,1091,e365eaef79694ee6a6f76760c49b1b21,菱威,420.00,0.00,,20,
1805,5450,adf0f0dfcfe84156b29aba72fae2d2ca,菱威,140.00,0.00,,20,
1806,1329,4c1b34f1e3da4304a05e33671fc39089,菱威,265.00,0.00,,20,
1807,5451,135bc3d8580646dfbad850b03e5d405a,菱威,135.00,0.00,,20,
1808,1271,8aa1117caa634a61a7e844f587347b24,梯安,2000.00,0.00,,18,
1809,1310,d8a1560ef453449b85233bc4cc82f811,菱威,400.00,0.00,,20,
1810,1332,e7d3fded289a4d46a9059fb38def9017,菱威,260.00,0.00,,20,
1811,1343,9411c8292cd84d1bb986666383a65800,菱威,395.00,0.00,,20,
1812,1347,fe4cadc2d7034bce842b0f443badc69e,菱威,105.00,0.00,,20,
1813,488,45944ad7345c42d09d3ed3b7e2887cd6,菱威,420.00,0.00,,20,
1814,488,065b247775f84582b579ce9ae7da07a5,菱威,420.00,0.00,,20,
1815,964,ef25196efa62457288d745aa9441381b,菱威,700.00,791.00,,20,
1816,488,7ad3ee9731154a85a18425343f7ab557,菱威,420.00,0.00,,20,
1817,488,1d79458399e94d228a961af9e5486231,菱威,420.00,0.00,,20,
1818,1310,d8a1560ef453449b85233bc4cc82f811,南希,350.00,0.00,,67,
1819,965,bd4ceddb06c34575adce232d275a007f,菱威,2200.00,0.00,,20,
1820,1429,616d915843ab498fb5780a59c65c05f0,吉菱机电,780.00,0.00,,48,
1821,1119,715cb9b08ff4485198c8f610c92c9054,菱威,1900.00,0.00,,20,
1822,1435,18a5e3b841b34d90b0dbf259e7c258e3,菱威,45.00,0.00,,20,
1823,1155,3625a7b5b8a647b8a681ef149ad02f26,菱威,5450.00,0.00,,20,
1824,1162,30f9d10b396d49eaa1f203bde68fcc01,菱威,275.00,0.00,,20,
1825,1182,07bbcfbdf8a54355ae53c3437c95cbf6,菱威,1700.00,0.00,,20,
1826,2538,2e3c624843ab4d37b03f08ac5e4b0582,茂旺,398.23,450.00,0.00,10,
1827,1388,bf1921615bb94a3bbd79c5c66a5ee9de,菱威,170.00,0.00,,20,
1828,1469,973c4ded834547c1b0ae693f1f9d31fc,菱威,185.00,0.00,,20,
1829,1486,2083e83b0a9a47d89ea90bc16c45e8c7,菱威,115.00,0.00,,20,
1830,1532,4b8690501036460d8acfebbe5d69f504,菱威,42.00,0.00,,20,
1831,5452,75d71e68ee2e4f83ad7c4ec9670a7d09,南希,1500.00,0.00,0.00,67,
1832,2964,f6bfb8c3c7d64de6ac8bbfb470ada46c,茂旺,500.00,0.00,0.00,10,
1833,789,1a13d32105214a7e88d04f33fd3fa15f,梯乎,5500.00,0.00,0.00,77,
1834,3032,8c0ec8df6af84dc3b71c1cb87e332cea,茂旺,400.00,0.00,0.00,10,
1835,5453,382614263c9848fba3d76a2f46b4ab3c,新动力,520.00,0.00,,49,
1836,3033,2779cf991f2d44b88633479f2cdf90ea,茂旺,380.00,0.00,0.00,10,
1837,3034,8182fc086a92476d9aab6319be55ed66,茂旺,660.00,0.00,0.00,10,
1838,742,1493c35afd8646e0ac82ca13151e34ab,梯乎,5200.00,0.00,0.00,77,
1839,3035,3acb62ae4b8b4391b216aec09b9581ed,茂旺,884.96,1000.00,,10,
1840,742,1493c35afd8646e0ac82ca13151e34ab,徽菱,7500.00,0.00,0.00,28,
1841,494,61cbfde8177345618c61c552c3007b09,菱威,0.00,0.00,,20,
1842,742,e81aff36c6e748ebbde4631925350594,梯乎,800.00,0.00,0.00,77,
1843,3045,a2ce21a88ba94425aecae6e6ce1614d7,茂旺,850.00,0.00,0.00,10,
1844,4449,90eab43456a84092bc2e507c7ab57c9e,菱威,130.00,0.00,,20,
1845,785,086a8220a8454ea7877adf432812c783,梯乎,300.00,0.00,0.00,77,
1846,3051,940ef073f18a4121bb84cd0ec2add576,茂旺,389.38,440.00,0.00,10,
1847,3209,99cf27fff663426e959da2afd89c826b,茂旺,500.00,0.00,0.00,10,
1848,5454,8f582420cbc04fa29db8f836fe8920d0,丽景恒泰,1200.00,0.00,,84,
1849,5454,8f582420cbc04fa29db8f836fe8920d0,龙奥机电,150.00,0.00,,95,
1850,3215,c7ba076be71e4a63831ed9384277d838,茂旺,0.00,580.00,0.00,10,
1851,5455,d8bc174c046448e092195d56bac921da,菱威,1600.00,0.00,,20,
1852,838,3f70758cce8f4eb58bca537e6380e181,梯安,140.00,0.00,,18,
1853,5455,d8bc174c046448e092195d56bac921da,丽景恒泰,1800.00,0.00,,84,
1854,5456,8486b2b0eb5d446c820148d614e9de05,龙奥机电,0.00,0.00,,95,
1855,3229,16009eed393145af8ea164a15d94cb78,茂旺,796.46,900.00,0.00,10,
1856,849,95902e0414cb482aaf3ae1287ddc0dc5,梯安,600.00,0.00,,18,
1857,2812,e8b2596661fc4aaab74572dd68211387,龙奥机电,0.00,3500.00,,95,
1859,2812,e8b2596661fc4aaab74572dd68211387,菱威,3800.00,0.00,,20,
1860,5458,43dd82f8571e4e9ba992504401c4993d,菱威,115.00,0.00,,20,
1861,855,cb144e52b453457ea982f6ad19c2e6e0,徽菱,2000.00,0.00,0.00,28,
1862,5455,0f441fb9b24d4bee97a0646c9cc30977,丽景恒泰,2400.00,0.00,,84,
1863,855,cb144e52b453457ea982f6ad19c2e6e0,梯乎,2200.00,0.00,0.00,77,
1864,5460,f80729529833473499ca4f627d3af968,菱威,1480.00,0.00,,20,
1865,5459,3d3a3013947a450c929d0e65a12142f2,菱威,360.00,0.00,,20,
1866,1700,d9aac6aff8a3477aa6890603a21b74e2,菱威,980.00,0.00,,20,
1867,5461,d9625e3976214f028b4c995b81a113f5,菱威,1050.00,0.00,,20,
1868,5462,d5eacb46dbc24f9ba508ddaf018439d2,菱威,25.00,0.00,,20,
1869,5464,355fe42d829c4934adc6e2185be3d931,菱威,145.00,0.00,,20,
1870,913,4cacbb841d514f7a881d5cae573bfa8a,梯乎,1657.00,0.00,0.00,77,
1871,913,4cacbb841d514f7a881d5cae573bfa8a,徽菱,1600.00,0.00,0.00,28,
1872,5465,77b83b22157f4d7eb24df72c651b2339,菱威,45.00,0.00,,20,
1873,913,36959c721d5d4b50b2d49a1b7985bb47,梯乎,1000.00,0.00,0.00,77,
1874,5466,574dcf2366384240bf490187258165ad,菱威,360.00,0.00,,20,
1875,5467,b3e2ea5b435a458da5b8b7eee2535bd0,宏鑫,2079.65,2350.00,,64,
1876,5467,b3e2ea5b435a458da5b8b7eee2535bd0,湖州讯通,1592.92,1800.00,,103,
1877,1047,7c83a7262057443ab1c3678a24ba76c3,梯乎,320.00,0.00,0.00,77,
